Question number,Question,A,B,C,D,Correct,Skill,Difficulty,Unit,Lesson
32," While researching a topic, a student has taken the following notes: Niko Luoma is an important artist of the Helsinki School of photography. For Each Minute ,Sixty-Five Seconds is a collection of his photographic interpretations of historic artworks. Luoma published the book in 2021. It includes abstract interpretations of paintings such as Pablo Picasso's Weeping Woman. Luoma used some of the same photographic techniques in For Each Minute, Sixty-Five Seconds as in his 2012 book And Time is No Longer an Obstacle. The student wants to introduce Niko Luoma and his book For Each Minute, Sixty-Five Seconds to a new audience. Which choice most effectively uses relevant information from the notes to accomplish this goal? Please give 1 answer.","In 2021, Niko Luoma of the Helsinki School of photography published For Each Minute, Sixty- Five Seconds, which is a collection of his abstract interpretations of historic art works, including Pablo Picasso's Weeping Woman.",Niko Luoma published And Time is No Longer an Obstacle before he created For Each Minute, Sixty-Five Seconds.,"For Each Minute, Sixty-Five Seconds, a photography collection published in 2021, consists of abstract photographic interpretations of historic artworks by an artist of the Helsinki School of photography.",And Time is No Longer an Obstacle and For Each Minute, Sixty-Five Seconds, both published by Niko Lumoa, use similar photo graphic techniques.,A,Rhetorical purpose & point of view,Hard,,Expression of Ideas
33," While researching a topic, a student has taken the following notes: The Volcanic Explosivity Index (VEI) measures the intensity of a volcanic eruption in relation to other volcanic eruptions. The VEI of an eruption is determined based on factors, including the quantity of the erupted material. The VEI is reported on a scale from 0-8; each increase of 1 denotes a tenfold increase in the intensity of the eruption. The eruption of Mount Pelee in 1902 is classified as a 4 on the VEI index, which is described as a ""catastrophic"" eruption that ejects between 0.1 km3 and 1 km3 of material. The eruption of Vesuvius in 79 C.E. is classified as a 5 on the VEI index, which is described as a ""cataclysmic"" level of eruption that ejects between 1 km3 and 10 km3 of material. The eruption of Krakatoa in 1883 C.E. is classified as a 6 on the VEI index, which is described as a ""colossal"" level of eruption that ejects between 10 km3 and 100 km3 of material. The student wants to emphasize how intense the eruption of Vesuvius was relative to the eruptions of Mount Pelee and Krakatoa. Which choice most effectively uses relevant information from the notes to accomplish this goal? Please give 1 answer.",A classification of 5 on the VEI index, as has been assigned to the eruption of Vesuvius, indicates an eruption that is considered ""cataclysmic"" and that ejects up to 10 km3 of material.,The eruption of Vesuvius in 79 C.E. was a 5 on the VEI index, the eruption of Mount Pelee in 1902 C.E. was a 4 on the VEI index, and the eruption of Krakatoa in 1883 C.E. was a 6 on the VEI index.,At a 5 on the VEI index, the eruption of Vesuvius ejected more than 1 km3 of mate rial and was ten times more powerful than the eruption of Mount Pelee but ten times less powerful than the eruption of Krakatoa.,While the eruption of Mount Pelee was a 4 on the VEI index and the eruption of Krakatoa was a 6 on the VEI index, the eruption of Vesuvius was classified as a 5 since it ejected more than 1 km3 of material.,C,Rhetorical purpose & point of view,Hard,,Expression of Ideas
34,"The state of North Carolina adopted the phrase ""First in Flight, on its license plates in 1982, referencing the fact that the first powered airplane flight occurred at the beach at Kitty Hawk, North Carolina in 1903. However, the inventors of the airplane, Orville and Wilbur Wright, had developed their airplane design and resided in Dayton, Ohio. _____ the state of Ohio began inscribing ""Birthplace of Aviation» on their license plates in 1998. Which choice completes the text with the most logical transition? Please give 1 answer.",Specifically,,Consequently,,for instance,,Regardless,,B,Transitions ,Hard,,Expression of Ideas
35,"Synesthesia is a phenomenon in which multiple senses are triggered together, such as perceiving letters as particular colors. Synesthesia may seem incomprehensible to those who don't experience it, yet synesthetes often grow up assuming that their experience of the world is universal._____ many individuals with synesthesia report that they did not realize their perception was unique until they had reached adulthood. Which choice completes the text with the most logical transition? Please give 1 answer.",Nevertheless,,To conclude,,In fact,,Next,,C,Transitions ,Hard,,Expression of Ideas
36,"The gutter - a term referring to the blank space between two panels - is a critical tool in drawing comics, especially as it relates to storytelling. ______ it invites the reader to use their imagination to fill in the gutter, painting in the events that happen between the two panels, each of which represents a specific point in time. Which choice completes the text with the most logical transition? Please give 1 answer.",Because,,Specifically,,Since,,Nevertheless,,B,Transitions ,Hard,,Expression of Ideas
37,"The human eye contains no photoreceptor cells - which facilitate our vision by converting light into electrical signals - in the spot where the optic nerves connect from the eye to the brain, resulting in a ""blind spot"" in our field of vision. The brain's visual cortex, _____ is able to ""fill in"" the missing visual information, so that we do not typically experience any lapse in our sight due to the blind spot. Which choice completes the text with the most logical transition? Please give 1 answer.",in other words,,indeed,,similarly,,Nevertheless,,D,Transitions ,Hard,,Expression of Ideas
38,"Given that some of the Founding Fathers of the United States opposed the concept of political parties, modern citizens may reasonably wonder how the party system arose in the first place. After all, while there may seem to be no essential connection between two issues such as taxation and foreign policy, most of the nation's voters huddle under one of the two all-encompassing ideological umbrellas held out by our two dominant political parties. , the origins and endurance of the two-party system might initially seem puzzling to the budding student of political science, but to those who have a background in anthropology or social psychology, it should come as no surprise Which choice completes the text with the most logical transition? Please give 1 answer.",Finally,,For instance,,Indeed,,However,,C,Transitions ,Hard,,Expression of Ideas
39,"Lactic acid does not form during normal daily activities because our muscles have a small store of ATP available, which is easily replenished as it is used. More intense activity, however, quickly uses up that the store is used up, and if the level of oxygen needed for the activity is greater than the amount reaching the muscles, lactic acid starts to build up. The buildup of lactic acid occurs most quickly while engaging in so-called power sports, such as sprinting Which choice completes the text so that it conforms to the conventions of Standard English? Please give 1 answer.",store and once,store; once,store once,"store once,",B,Punctuation Rules ,Hard,,Standard English Conventions
40,"The James Webb Space Telescope (JWST) is a space telescope launched in 2021. Unlike any of its predecessors, its primary mission is to conduct infrared astronomy. Designed to capture otherwise invisible infrared light, is better suited to wavelengths of light visible to the human eye. Which choice completes the text so that it conforms to the conventions of Standard English? Please give 1 answer.","astronomical objects that are dimmer, cooler, and farther away than the objects perceivable by its more famous counter part, the Hubble Space Telescope, mean the JWST","the objects perceivable by its more famous counterpart, the Hubble Space Telescope, are dimmer, cooler, and farther away, which the JWST","the JWST is able to perceive astronomical objects that are dimmer, cooler, and far ther away than the objects perceivable by its more famous counterpart, the Hubble Space Telescope, which","the Hubble Space Telescope is able to perceive astronomical objects that are dimmer, cooler, and farther away than the objects perceivable by its more famous counterpart, the JWST, which",C,Modifier Placement ,Hard,,Sentence Structure & Organization
41,"In the aftermath of the French Revolution, political and social currents in Europe brought with them significant developments in the world of music. Patronage of the arts no longer exclusively belonged to the increasingly prosperous middle class flocked to public concerts and music festivals, contributing to the development of Romanticism. Which choice completes the text so that it conforms to the conventions of Standard English? Please give 1 answer.",aristocracy and the,aristocracy; the,"aristocracy, the",aristocracy the,B,Punctuation Rules ,Hard,,Standard English Conventions
42,"Lying on the bank of the Yamuna River in northern India is one of the world's most famous and beautiful buildings - the Taj Mahal. Built by the Mughal emperor Shah Jahan as a burial home for his favorite consort, Arjumand Banu Bagam (known as Mumtaz Mahal, ""the Elect of the Palace""), _____ soon after her death in 1631. The mausoleum was completed by 1643, and the surrounding complex of buildings and gardens was completed about ten years later. Which choice completes the text so that it conforms to the conventions of Standard English? Please give 1 answer.",this ornate tomb began being constructed,construction of this ornate tomb started,plans for this ornate tomb's construction started,this ornate tomb’s construction started,A,Modifier Placement ,Hard,,Sentence Structure & Organization
43,"Olympus Mons is an enormous shield-type volcano on the surface of the planet Mars. The Mars Orbiter Laser Altimeter, an instrument on the Mars Global Surveyor spacecraft, used infrared laser pulses to measure the height of the of the Tharsis Montes volcanic region, this massive geographic feature towers more than 13 miles above the Martian surface and is the tallest known mountain on any planet in the solar system. Which choice completes the text so that it conforms to the conventions of Standard English? Please give 1 answer.",volcano and part,volcano part,"volcano, part",volcano. Part,D,Punctuation Rules ,Hard,,Standard English Conventions
44,"In 1807, President Thomas Jefferson attempted to end British and French attacks on American sea vessels by passing the Embargo Act, which enacted a prohibition on trade with foreign nations that the early twentieth-century ""was disastrous"" and ""ruined ... American shipping"" Which choice completes the text so that it conforms to the conventions of Standard English? Please give 1 answer.","historian Albert J. Beveridge, claimed,","historian, Albert J. Beveridge, claimed,",historian Albert J. Beveridge claimed,"historian, Albert J. Beveridge, claimed",C,Punctuation Rules ,Hard,,Standard English Conventions
45,"Portal fantasies, beginning with Mark Twain's 1889 novel A Connecticut Yankee in King Arthur's Court, typically feature a person from Earth transported to a fantastical _____ one strikingly different from that of their everyday ordinary life. In the last decade, portal fantasies have become especially popular in Japan, where they are known as isekai, which translates as ""different world"" Which choice completes the text so that it conforms to the conventions of Standard English? Please give 1 answer.",setting;,setting,"setting,",setting),C,Punctuation Rules ,Hard,,Standard English Conventions
46,"The Xiaozhai Tiankeng sinkhole in China is the largest sinkhole in the world, deep enough that you could stack the Eiffel Tower inside it twice over with room to spare. Its remote location and sheer walls make it cumbersome for humans to those same qualities make it a rich ecological reserve for endangered species like the clouded leopard. Which choice completes the text so that it conforms to the conventions of Standard English? Please give 1 answer.",explore; however,"explore, however","explore; however,","explore, however,",C,Punctuation Rules ,Hard,,Standard English Conventions
47,"In recent decades, numerous international cities have vied for the distinction of possessing the world's tallest Ferris wheel. The 853-foot Ain Dubai in the United Arab Emirates secured the title in 2021. Other past Ferris wheel record holders include the 394-foot London the 550-foot High Roller in Las Vegas; the 541-foot Singapore Flyer; and the 525-foot Star of Nanchang. Which choice completes the text so that it conforms to the conventions of Standard English? Please give 1 answer.","Eye, which kick-started the giant Ferris wheel trend when it was completed in 2000;","Eye; which kick-started the giant Ferris wheel trend when it was completed in 2000,","Eye which kick-started the giant Ferris wheel trend when it was completed in 2000,","Eye, which kick-started the giant Ferris wheel trend when it was completed in 2000,",A,Punctuation Rules ,Hard,,Standard English Conventions
48,"The defeat of a navy by horse-mounted cavalry is a laughable idea, and yet it once happened. In 1795, fourteen Dutch warships in an iced-over port, lacking an escape route, to a French light cavalry regiment after tense negotiations rather than face certain defeat by boarding parties. It was a humiliating loss. Which choice completes the text so that it conforms to the conventions of Standard English? Please give 1 answer.",will surrender,surrenders,surrender,surrendered,D,Verbs Agreement,Hard,,Standard English Conventions
49,"When crafting new work, Sudanese-American poet Safia Elhillo frequently draws on her own experiences as a child of immigrant parents and the complicated emotions of being held between two worlds with her language, culture, and history. Elhillo's newest collection of poetry, Girls That Never Die (2022), is a national bestseller, which is unsurprising because her writings lauded before. Her debut collection of poetry, The January Children (2017), won both the Sillerman First Book Prize for African Poets and the Arab American Book Award. Which choice completes the text so that it conforms to the conventions of Standard English? Please give 1 answer.",are,have been,has been,is,B,Verbs Agreement,Hard,,Standard English Conventions
50,"Suburban zoning laws have forced the ongoing separation of living and commercial spaces. As such, the city dweller's fond experiences of walking down the block to the neighborhood park or café _______ entirely alien to a suburbanite. Should suburban dwellers, on a Saturday morning, desire a change of scenery or a cup of coffee, they must get in their cars and drive some distance. Which choice completes the text so that it conform to the conventions of Standard English? Please give 1 answer.",is,are,were,was,B,Verbs Agreement,Hard,,Standard English Conventions
51,"In prehistoric times, humans lived in social groupings of tribes or clans, interacting with no more than a few hundred individuals. Since each tribe had to compete for food, land, and other resources, skirmishes between neighboring groups ,were inevitable and frequent. Just as adherence to common languages and belief systems ________ shared cultural identity today, mutual tribal systems preserved ancient group integrity, helping people to unite against external forces. Conformity thus became an adaptation for survival; no individual wished to be cut off from the group and left all alone to deal with the many dangers of the outside world. Which choice completes the text so that it conforms to the conventions of Standard English? Please give 1 answer.",facilitating,facilitate,facilitated,facilitates,D,Verbs Agreement,Hard,,Standard English Conventions
52,"The small, colorless, and blind Ozark cavefish lives most of its life in total darkness and is endangered. In their search for this elusive species, researchers were encouraged by the stability of the caves' groundwater as well as ______ length and the presence of bats. Which choice completes the text so that it conforms to the conventions of Standard English? Please give 1 answer.",it's,its,their,they're,C,Pronoun Usage ,Hard,,Standard English Conventions
53,"The films of Japanese director Akira Kurosawa enjoy a lofty reputation in the West;but many critics and moviegoers in his home country view his films as neither original nor particularly Japanese. His use of Western ideals and themes - even reinterpreting Western authors such as William Shakespeare and Fyodor Dostoyevsky - leads Japanese cinema lovers, many of see Kurosawa's use of Japanese culture as mere ""window dressing"" applied to essentially foreign stories, to regard his work, with suspicion. Which choice completes the text so that it conforms to the conventions of Standard English? Please give 1 answer.",whom,which,whose,who,A,Pronoun Usage ,Hard,,Standard English Conventions
54,"British scientists Antony Hewish and Sir Martin Ryle won the Nobel Prize in Physics in 1974 for their research in radio astrophysics, which led to the discovery of pulsars. However, it is inaccurate to say that only Hewish and Ryle discovered the recurring bursts of radio waves emitted by a celestial object. _______ findings were based on observations made and documented by Dame Jocelyn Bell Burnell, a graduate student under Hewish at the University of Cambridge. Which choice completes the text so that it conforms to the conventions of Standard English? Please give 1 answer.",Its,Their,They're,His,B,Pronoun Usage ,Hard,,Standard English Conventions
55,"Weight-bearing exercise has been shown to benefit participants of all ages and abilities. Although the most obvious example is that of athletes who build the muscle mass and strength that help them excel in their sports, weight-bearing exercise is _____ to enable them to continue with the activities of daily life. Which choice completes the text so that it conforms to the conventions of Standard English? Please give 1 answer.","important for, the injured and the elderly","important for the injured, and the elderly",important for the injured and the elderly,"important, for the injured and the elderly,",C,Parallel Structure,Hard,,Sentence Structure & Organization
56,"Sudanese-American poet Safia Elhillo, author of Girls that Never Die and The January Children, continues to win acclaim for her poignant poetry, short stories, and spoken word __ by high-end brands to curate poems that personify key elements for specific marketing campaigns, Elhillo has become a evocative voice of her generation.
Which choice completes the text so that it conforms to the conventions of Standard English?","performances, commissioned ",performances and commissioned ,performances. Commissioned ,performances commissioned,C,Parallel Structure,Hard,,Sentence Structure & Organization
